combination,r2,q2,mae,rmsd,threshold
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'hirshfeld_diff_5-12')",0.36464335194494923,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'hirshfeld_diff_3-11')",0.5363522021151194,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'B1_4-6')",0.26902488384196066,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'B5_4-6')",0.2927225199776856,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'L_4-6')",0.26890468263206446,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'loc_B5_4-6')",0.2747630488807511,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'B1_B5_angle_4-6')",0.26753527727255655,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'B1_6-4')",0.3185131881210408,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'B5_6-4')",0.44257695052869117,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'L_6-4')",0.26838285445150967,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'loc_B5_6-4')",0.2801290835734427,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'B1_B5_angle_6-4')",0.27601925966083174,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'angle_[11, 6, 4]')",0.2855745418171177,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'angle_[6, 4, 5]')",0.39805443747428426,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'angle_[1, 5, 4]')",0.45724225367160964,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'bond_length_11-6')",0.42653069925237785,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'bond_length_6-4')",0.326192508611281,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'bond_length_1-5')",0.2849378997332559,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'bond_length_22-23')",0.28187604439086034,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'aniso')",0.3402704443707456,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'iso')",0.2739856317252928,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'energy')",0.2882153124188086,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'Frequency_Stretch_12_21')",0.34748284254256523,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'Amplitude_Stretch_12_21')",0.26807722262667666,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Cross_mag_Bending_17-18', 'dipole_x_11-6-4')",0.48740385505346906,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Cross_mag_Bending_17-18', 'dipole_y_11-6-4')",0.4655096777047657,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Cross_mag_Bending_17-18', 'dipole_z_11-6-4')",0.5215185983313494,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Cross_mag_Bending_17-18', 'total_dipole_11-6-4')",0.45603925566508685,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Cross_mag_Bending_17-18', 'dipole_x_10-11-12')",0.45707283960570855,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Cross_mag_Bending_17-18', 'dipole_y_10-11-12')",0.4979060205434327,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Cross_mag_Bending_17-18', 'dipole_z_10-11-12')",0.4805682654454555,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Cross_mag_Bending_17-18', 'total_dipole_10-11-12')",0.45603925566508685,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Cross_mag_Bending_17-18', 'dipole_x_11-12-5')",0.48229921200152603,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Cross_mag_Bending_17-18', 'dipole_y_11-12-5')",0.4661158840517443,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Cross_mag_Bending_17-18', 'dipole_z_11-12-5')",0.48612889338995446,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Cross_mag_Bending_17-18', 'total_dipole_11-12-5')",0.45603925566508685,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Cross_mag_Bending_17-18', 'dipole_x_4-5-1')",0.48985264276747176,-inf,inf,inf,0.7
